town,county,ZIPcode,Deaths,Population,Deaths_per_100000,SVI
Thomaston,Litchfield,6787,2.0,7758.0,25.779840164990976,
Thompson,Windham,6277,1.0,4099.0,24.39619419370578,
Salem,New London,6420,1.0,4192.0,23.85496183206107,
Chester,Middlesex,6412,1.0,4234.0,23.618327822390174,
Stonington,New London,6379,2.0,8645.0,23.13475997686524,
Plymouth,Litchfield,6786,2.0,9277.0,21.558693543171284,
Preston,New London,6365,1.0,4657.0,21.473051320592656,
Lyme,New London,6371,2.0,9686.0,20.648358455502787,
Mansfield,Tolland,6268,2.0,10420.0,19.193857965451055,
North Stonington,New London,6359,1.0,5332.0,18.754688672168044,
Willington,Tolland,6279,1.0,5893.0,16.96928559307653,
Montville,New London,6382,2.0,12021.0,16.637550952499794,SVI
Plainfield,Windham,6354,1.0,6167.0,16.215339711366955,
Ledyard,New London,6335,1.0,6203.0,16.121231662098985,
Granby,Hartford,6035,1.0,7865.0,12.714558169103624,
Brooklyn,Windham,6234,1.0,8253.0,12.11680600993578,SVI
Putnam,Windham,6260,1.0,9353.0,10.691756655618518,
Southington,Hartford,6479,1.0,9572.0,10.447137484329295,
Burlington,Hartford,6013,1.0,9659.0,10.353038616834041,
Killingly,Windham,6239,1.0,11169.0,8.953353030710002,SVI
,,10573,30.0,,,
,,10580,10.0,,,
,,10512,7.0,,,
,,10462,3.0,,,
,,10590,3.0,,,
,,10805,2.0,,,
,,10452,2.0,,,
,,10604,2.0,,,
,,10543,2.0,,,
,,10541,2.0,,,
,,6601,2.0,,,
,,10510,2.0,,,
,,12563,2.0,,,
,,7052,1.0,,,
,,7093,1.0,,,
,,7656,1.0,,,
,,6600,1.0,,,
,,6721,1.0,,,
,,6719,1.0,,,
,,10001,1.0,,,
,,6497,1.0,,,
,,11355,1.0,,,
,,10913,1.0,,,
,,10965,1.0,,,
,,10970,1.0,,,
,,11102,1.0,,,
,,11203,1.0,,,
,,11210,1.0,,,
,,11219,1.0,,,
,,11222,1.0,,,
,,11357,1.0,,,
,,10708,1.0,,,
,,11358,1.0,,,
,,11360,1.0,,,
,,11377,1.0,,,
,,11427,1.0,,,
,,11575,1.0,,,
,,11776,1.0,,,
,,12440,1.0,,,
,,12538,1.0,,,
,,10801,1.0,,,
,,10702,1.0,,,
,,12570,1.0,,,
,,10475,1.0,,,
,,10009,1.0,,,
,,10010,1.0,,,
,,10017,1.0,,,
,,10025,1.0,,,
,,10033,1.0,,,
,,1020,1.0,,,
,,10456,1.0,,,
,,10461,1.0,,,
,,10505,1.0,,,
,,10701,1.0,,,
,,10509,1.0,,,
,,10513,1.0,,,
,,10528,1.0,,,
,,10537,1.0,,,
,,10553,1.0,,,
,,10576,1.0,,,
,,10589,1.0,,,
,,10605,1.0,,,
,,12546,1.0,,,
,,12590,1.0,,,
,,10003,1.0,,,
,,6104,1.0,,,
,,6430,1.0,,,
,,6101,1.0,,,
,,12601,1.0,,,
,,32162,1.0,,,
,,13205,1.0,,,
,,17518,1.0,,,
,,201301,1.0,,,
,,2891,1.0,,,
,,2920,1.0,,,
,,29464,1.0,,,
,,29582,1.0,,,
,,3079,1.0,,,
,,32810,1.0,,,
,,33914,1.0,,,
,,33946,1.0,,,
,,6025,1.0,,,
,,6050,1.0,,,
,,H2L4C5,1.0,,,
,,1106,,15987.0,,
Mansfield,Tolland,6269,,10296.0,,
,,1077,,9720.0,,
Prospect,New Haven,6712,,9657.0,,
East Lyme,New London,6333,,7176.0,,
Woodstock,Windham,6281,,6897.0,,
Montville,New London,6370,,6669.0,,
Killingly,Windham,6241,,6386.0,,SVI
Hebron,Tolland,6248,,5605.0,,
East Granby,Hartford,6026,,5304.0,,
,,1036,,5178.0,,
Canterbury,Windham,6331,,5069.0,,
Pomfret,Windham,6259,,4471.0,,
Thompson,Windham,6255,,4357.0,,
Suffield,Hartford,6093,,3406.0,,
Barkhamsted,Litchfield,6063,,3351.0,,
Sprague,New London,6330,,3220.0,,
Simsbury,Hartford,6089,,3100.0,,
Middlefield,Middlesex,6455,,3077.0,,
Windham,Windham,6280,,3055.0,,SVI
Sterling,Windham,6377,,2969.0,,
Haddam,Middlesex,6438,,2906.0,,
Goshen,Litchfield,6756,,2842.0,,
Granby,Hartford,6060,,2691.0,,
Hampton,Windham,6247,,2686.0,,
Chaplin,Windham,6235,,2472.0,,
Plymouth,Litchfield,6782,,2434.0,,
Essex,Middlesex,6442,,2343.0,,
Sharon,Litchfield,6069,,2342.0,,
Windham,Windham,6256,,2245.0,,SVI
Salisbury,Litchfield,6039,,2138.0,,
Kent,Litchfield,6757,,1974.0,,
Hartford,Hartford,6103,,1878.0,,SVI
Morris,Litchfield,6763,,1864.0,,
Warren,Litchfield,6754,,1789.0,,
Norfolk,Litchfield,6058,,1653.0,,
Simsbury,Hartford,6081,,1547.0,,
Hartland,Hartford,6027,,1451.0,,
Salisbury,Litchfield,6068,,1386.0,,
Washington,Litchfield,6777,,1352.0,,
Middlefield,Middlesex,6481,,1304.0,,
Litchfield,Litchfield,6750,,1047.0,,
Woodstock,Windham,6282,,1030.0,,
Cornwall,Litchfield,6796,,972.0,,
Washington,Litchfield,6794,,909.0,,
New Milford,Litchfield,6755,,900.0,,
Thompson,Windham,6262,,812.0,,
Kent,Litchfield,6785,,776.0,,
Hartland,Hartford,6065,,660.0,,
Plainfield,Windham,6332,,587.0,,
Windham,Windham,6266,,562.0,,
North Canaan,Litchfield,6024,,460.0,,
Southington,Hartford,6467,,385.0,,
Colebrook,Litchfield,6021,,383.0,,
New Hartford,Litchfield,6061,,367.0,,
Morris,Litchfield,6758,,341.0,,
Killingly,Windham,6263,,302.0,,
East Hampton,Middlesex,6456,,259.0,,
Southington,Hartford,6444,,241.0,,
Old Lyme,New London,6376,,209.0,,
Sterling,Windham,6373,,181.0,,
Killingly,Windham,6243,,171.0,,
Canton,Hartford,6022,,140.0,,
East Hampton,Middlesex,6414,,134.0,,
Bozrah,New London,6336,,129.0,,
Scotland,Windham,6264,,108.0,,
Montville,New London,6353,,107.0,,
Hartland,Hartford,6091,,60.0,,
Sprague,New London,6350,,47.0,,
